  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS
  1	       -67.2847	            0.769231	    0.085121	         -55.9272	            -115.653	             -71.241	            -141.552	            -55.9272	            -115.653	            -118.688	             17.0556	             -2.1471
  2	        -64.087	            0.769231	    0.091999	         -55.9539	            -115.811	            -67.6665	            -135.827	            -55.9539	            -115.811	            -118.048	             13.3768	            -2.34746
  3	       -62.1015	                   1	    0.068163	         -55.9855	            -115.968	            -65.4185	            -131.726	            -55.9855	            -115.968	            -117.706	             11.0245	            -2.54254
  4	       -60.4405	            0.666667	    0.100404	         -55.9962	            -116.064	            -63.5462	            -128.593	            -55.9967	            -116.063	            -117.442	             9.04791	            -2.73298
  5	       -58.9527	            0.909091	    0.064259	         -56.0002	            -116.153	            -62.0338	            -125.694	            -56.0026	            -116.149	            -117.239	             7.43133	            -2.94624
  6	       -58.3517	            0.833333	    0.078446	           -56.01	            -116.258	            -61.0326	            -124.621	            -56.0166	            -116.249	            -117.091	             6.32579	            -3.19549
  7	       -57.9034	            0.588235	    0.114226	         -55.9945	            -116.235	            -60.3777	            -123.735	            -56.0071	            -116.222	            -116.923	             5.85206	             -3.3563
  8	       -57.6044	            0.833333	    0.092311	         -56.0016	            -116.289	            -59.8738	            -123.093	            -56.0226	            -116.272	            -116.824	             5.24381	            -3.59273
  9	       -56.9195	                   1	    0.081515	         -56.0126	            -116.362	            -59.3958	            -122.219	            -56.0472	            -116.339	             -116.76	              4.6616	             -3.8795
 10	       -56.1917	               0.625	    0.104728	         -55.9946	            -116.377	              -58.83	             -120.97	            -56.0551	            -116.352	            -116.671	             3.99158	            -4.18702
 11	       -55.9964	            0.588235	    0.120828	         -56.0267	            -116.468	            -58.3971	            -120.379	            -56.1248	            -116.451	              -116.7	             3.45441	            -4.41755
 12	       -55.8085	            0.434783	    0.162036	         -56.0038	            -116.417	            -58.0825	            -119.942	            -56.1374	            -116.416	            -116.618	             3.13993	            -4.55175
 13	       -55.6286	            0.588235	    0.098211	         -56.0082	             -116.45	            -57.8184	            -119.586	            -56.1869	            -116.477	            -116.604	              2.7715	            -4.81672
 14	       -55.5074	               0.625	    0.105235	         -56.0154	            -116.485	            -57.6022	            -119.307	            -56.2443	             -116.55	            -116.602	             2.45104	            -5.09277
 15	       -55.3995	            0.416667	    0.136901	         -56.0155	            -116.496	            -57.4224	            -119.064	            -56.2964	            -116.607	            -116.588	             2.16698	            -5.33698
 16	       -55.2423	            0.555556	    0.111965	         -55.9909	             -116.42	            -57.2659	            -118.838	            -56.3186	            -116.574	            -116.519	             2.22431	            -5.25239
 17	       -55.1744	            0.526316	    0.122278	         -55.9859	            -116.411	            -57.1293	            -118.643	            -56.3697	            -116.623	            -116.497	             1.98345	            -5.38741
 18	       -55.0854	            0.555556	    0.123553	         -55.9907	            -116.433	            -57.0133	            -118.471	            -56.4365	            -116.715	            -116.502	             1.76319	            -5.61678
 19	       -54.9967	            0.294118	    0.207331	         -55.9897	             -116.44	            -56.9101	            -118.311	            -56.4977	            -116.796	            -116.494	              1.5558	            -5.85082
 20	       -54.9177	            0.384615	    0.178395	         -55.9842	            -116.435	            -56.8177	            -118.164	            -56.5543	            -116.872	            -116.476	             1.35913	            -6.12985
 21	       -54.8492	                 0.4	    0.146456	         -55.9862	            -116.446	             -56.736	            -118.028	            -56.6258	            -116.974	            -116.478	              1.1731	            -6.36513
 22	        -54.797	             0.37037	    0.156781	         -55.9895	            -116.459	            -56.6634	            -117.905	            -56.7023	            -117.088	            -116.484	            0.996328	            -6.62451
 23	       -54.7403	            0.294118	     0.19018	         -55.9932	            -116.473	            -56.5992	            -117.793	            -56.7818	            -117.209	            -116.492	            0.827833	            -6.89601
 24	       -54.6926	            0.285714	    0.218647	         -55.9891	            -116.461	            -56.5415	            -117.689	             -56.846	            -117.293	            -116.479	            0.665849	            -6.95285
