  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS	    sampling seconds
 25	       -85820.8	                12.5	        0.38	         -1347.18	            -2694.36	            -85958.6	             -171913	            -1347.18	            -2694.36	            -2699.57	             84617.6	          -0.0743345	                0.38
 26	       -81371.6	            0.409836	        3.92	         -1347.29	            -2694.57	              -81392	             -162780	            -1347.29	            -2694.57	            -2699.74	               80051	          -0.0758081	                0.55
 27	       -77569.8	             2.27273	        0.48	         -1347.39	            -2694.78	            -77596.6	             -155189	            -1347.39	            -2694.78	            -2699.91	             76255.4	          -0.0772536	                0.47
 28	       -72486.1	             2.27273	        0.52	          -1347.5	            -2694.99	            -72502.3	             -145000	             -1347.5	            -2694.99	            -2700.08	               71161	          -0.0786726	                0.51
 29	       -68220.1	             3.33333	         0.5	         -1347.61	             -2695.2	            -68413.2	             -136822	            -1347.61	             -2695.2	            -2700.26	             67071.8	          -0.0800666	                 0.5
 30	       -65374.3	             3.57143	        0.59	         -1347.71	            -2695.41	            -65387.5	             -130770	            -1347.71	            -2695.41	            -2700.43	               64046	          -0.0814369	                0.58
 31	       -61571.8	             4.16667	        0.45	         -1347.82	            -2695.62	            -61643.7	             -123283	            -1347.82	            -2695.62	            -2700.61	             60302.1	          -0.0827846	                0.45
 32	       -58411.2	               3.125	        0.38	         -1347.92	            -2695.83	            -58493.2	             -116982	            -1347.92	            -2695.83	            -2700.79	             57151.5	          -0.0841108	                0.37
 33	       -55540.2	                   5	        0.38	         -1348.03	            -2696.04	            -55566.7	             -111129	            -1348.03	            -2696.04	            -2700.97	             54224.9	          -0.0854165	                0.37
 34	       -52829.2	             4.54545	        1.18	         -1348.13	            -2696.25	            -52884.8	             -105765	            -1348.13	            -2696.25	            -2701.15	             51542.9	          -0.0867026	                0.41
 35	         -50422	             1.08696	        0.65	         -1348.24	            -2696.46	            -50434.9	             -100865	            -1348.24	            -2696.46	            -2701.33	             49092.8	            -0.08797	                0.64
 36	       -48221.9	             1.72414	        0.47	         -1348.34	            -2696.67	            -48242.8	            -96481.1	            -1348.34	            -2696.67	            -2701.51	             46900.7	          -0.0892195	                0.46
 37	         -46630	             2.08333	        0.54	         -1348.45	            -2696.88	            -46768.1	            -93531.6	            -1348.45	            -2696.88	             -2701.7	             45425.8	          -0.0904518	                0.53
 38	       -44927.1	            0.235849	         3.7	         -1348.55	            -2697.09	            -44951.2	            -89898.1	            -1348.55	            -2697.09	            -2701.88	             43608.9	          -0.0916677	                2.49
 39	       -43169.3	           0.0481232	       26.38	         -1348.66	             -2697.3	            -43210.9	            -86417.3	            -1348.66	             -2697.3	            -2702.06	             41868.5	          -0.0928677	                1.27
 40	         -41747	            0.387597	        2.77	         -1348.76	            -2697.51	            -41828.5	            -83652.5	            -1348.76	            -2697.51	            -2702.25	               40486	          -0.0940525	                0.66
 41	       -40520.1	            0.252525	        4.24	         -1348.87	            -2697.72	            -40558.2	              -81112	            -1348.87	            -2697.72	            -2702.43	             39215.6	          -0.0952227	                0.67
 42	       -39019.9	          0.00859107	      215.91	         -1348.97	            -2697.93	            -39062.1	            -78119.6	            -1348.97	            -2697.93	            -2702.62	             37719.3	          -0.0963787	               12.07
 43	       -37627.3	             2.27273	        0.67	         -1349.08	            -2698.14	            -37682.5	            -75360.4	            -1349.08	            -2698.14	            -2702.81	             36339.6	          -0.0975211	                0.66
 44	       -36696.8	             3.84615	        0.53	         -1349.18	            -2698.35	            -36770.3	              -73536	            -1349.18	            -2698.35	            -2702.99	             35427.3	          -0.0986504	                0.51
 45	       -35473.9	             0.46729	        2.94	         -1349.29	            -2698.56	            -35485.6	            -70966.6	            -1349.29	            -2698.56	            -2703.18	             34142.5	           -0.099767	                0.52
 46	         -34126	                   2	        0.81	         -204.358	            -408.706	              -34177	            -68349.6	            -204.358	            -408.706	              -413.3	             33978.9	           -0.100871	                 0.8
 47	       -32896.2	             2.08333	        0.91	         -204.463	            -408.916	              -32909	            -65813.6	            -204.463	            -408.916	            -413.489	             32710.8	           -0.101964	                 0.9
 48	       -31706.8	             1.92308	        0.65	         -204.568	            -409.126	            -31725.4	            -63447.5	            -204.568	            -409.126	            -413.678	             31527.1	           -0.103045	                0.64
 49	       -30615.7	             2.17391	        0.52	         -204.673	            -409.336	            -30676.7	            -61348.8	            -204.673	            -409.336	            -413.868	             30478.2	           -0.104114	                0.51
 50	         -29665	             2.77778	        0.45	         -204.779	            -409.546	              -29688	            -59371.5	            -204.779	            -409.546	            -414.058	             29489.4	           -0.105174	                0.44
 51	       -28449.5	             2.63158	        0.48	         -204.884	            -409.756	            -28492.2	            -56979.9	            -204.884	            -409.756	            -414.248	             28293.5	           -0.106222	                0.47
 52	       -27229.4	           0.0195771	       122.6	         -204.989	            -409.966	            -27271.8	            -54539.2	            -204.989	            -409.966	            -414.439	               27073	           -0.107261	                2.73
 53	       -25883.1	                6.25	        0.43	         -205.094	            -410.176	            -25907.6	            -51810.8	            -205.094	            -410.176	             -414.63	             25708.8	           -0.108289	                0.41
 54	       -24839.8	            0.735294	        2.25	         -205.199	            -410.386	            -24882.1	            -49759.7	            -205.199	            -410.386	            -414.821	             24683.1	           -0.109308	                0.62
 55	       -23947.5	             1.51515	        1.09	         -205.304	            -410.596	            -23972.7	            -47940.8	            -205.304	            -410.596	            -415.013	             23773.6	           -0.110317	                1.06
 56	       -22731.2	            0.340136	        3.71	         -205.409	            -410.806	            -22754.8	            -45505.1	            -205.409	            -410.806	            -415.205	             22555.6	           -0.111318	                0.86
 57	       -21876.9	           0.0387597	       46.33	         -205.515	            -411.016	            -21955.4	            -43906.2	            -205.515	            -411.016	            -415.398	             21756.1	           -0.112309	                5.95
 58	       -21013.1	            0.442478	        4.09	          -205.62	            -411.227	            -21042.3	            -42080.2	             -205.62	            -411.227	            -415.591	             20842.9	           -0.113292	                0.61
 59	       -20045.2	           0.0405844	       61.91	         -205.725	            -411.437	            -20109.6	            -40215.4	            -205.725	            -411.437	            -415.784	             19910.1	           -0.114267	                2.09
 60	       -19175.1	            0.458716	        2.84	          -205.83	            -411.647	            -19192.9	            -38381.3	             -205.83	            -411.647	            -415.977	             18993.3	           -0.115233	                0.54
 61	       -18240.5	           0.0224316	       98.87	         -205.935	            -411.857	            -18260.6	            -36516.9	            -205.935	            -411.857	            -416.171	             18060.9	           -0.116192	                8.81
 62	       -17511.8	            0.287356	        4.45	          -206.04	            -412.067	            -17536.7	            -35068.9	             -206.04	            -412.067	            -416.365	             17336.9	           -0.117142	                0.62
 63	       -16874.5	             3.33333	        0.49	         -206.145	            -412.277	            -16910.4	            -33816.4	            -206.145	            -412.277	            -416.559	             16710.5	           -0.118085	                0.47
 64	       -16246.2	           0.0103242	      280.99	          -206.25	            -412.487	            -16274.3	              -32544	             -206.25	            -412.487	            -416.753	             16074.2	           -0.119021	               27.61
 65	       -15499.8	             5.55556	        0.63	         -206.356	            -412.697	            -15521.2	            -31037.9	            -206.356	            -412.697	            -416.948	               15321	            -0.11995	                0.61
 66	       -14610.1	             7.14286	        0.48	         -206.461	            -412.907	            -14628.6	            -29252.8	            -206.461	            -412.907	            -417.143	             14428.4	           -0.120871	                0.47
 67	       -14010.7	                   5	        0.56	         -206.566	            -413.117	            -14037.3	            -28070.1	            -206.566	            -413.117	            -417.338	             13836.9	           -0.121785	                0.54
 68	       -13184.7	            0.537634	        2.31	         -206.671	            -413.327	            -13199.2	            -26393.9	            -206.671	            -413.327	            -417.533	             12998.7	           -0.122694	                0.82
 69	         -12458	             0.26178	        4.59	         -206.776	            -413.537	            -12474.2	            -24943.8	            -206.776	            -413.537	            -417.729	             12273.6	           -0.123595	                2.73
 70	       -11775.3	           0.0578704	       32.69	          -199.28	            -398.546	            -11807.5	            -23610.6	             -199.28	            -398.546	            -402.722	             11614.4	           -0.125051	                2.35
 71	       -11180.4	            0.195312	        9.83	         -183.935	            -367.853	            -11209.8	            -22416.3	            -183.935	            -367.853	            -372.017	             11032.1	           -0.125377	                 0.9
 72	       -10548.2	           0.0230734	       77.65	          -184.04	            -368.063	            -10569.4	            -21134.4	             -184.04	            -368.063	            -372.213	             10391.6	           -0.126259	                4.02
 73	       -10042.4	            0.423729	        4.54	         -184.145	            -368.274	            -10059.4	            -20114.4	            -184.145	            -368.274	            -372.409	             9881.51	           -0.127135	                0.87
 74	       -9317.92	            0.273224	        4.82	          -184.25	            -368.484	            -9346.88	            -18689.3	             -184.25	            -368.484	            -372.606	             9168.84	           -0.128006	                1.14
 75	       -8758.04	           0.0183352	      101.78	         -184.355	            -368.694	            -8777.03	            -17549.6	            -184.355	            -368.694	            -372.803	             8598.89	            -0.12887	               11.64
 76	       -8236.16	             4.54545	        0.55	         -184.447	            -368.903	            -8253.35	            -16502.2	            -184.447	            -368.903	            -372.973	             8075.11	            -0.14466	                0.53
 77	       -7610.76	             7.14286	        0.48	         -184.552	            -369.113	            -7652.21	            -15299.9	            -184.552	            -369.113	             -373.17	             7473.86	           -0.145527	                0.46
 78	       -6996.72	            0.568182	        1.61	         -184.657	            -369.323	            -7032.04	            -14060.3	            -184.657	            -369.323	            -373.367	             6853.58	           -0.146386	                0.51
 79	        -6496.6	           0.0165235	       86.29	         -184.762	            -369.533	            -6512.55	            -13020.6	            -184.762	            -369.533	            -373.565	             6333.99	           -0.147239	                5.86
 80	       -6006.73	             7.14286	         0.4	         -184.868	            -369.743	            -6056.79	            -12110.8	            -184.868	            -369.743	            -373.762	             5878.12	           -0.148098	                0.38
 81	       -5435.61	            0.543478	        2.73	         -184.973	            -369.953	            -5466.61	            -10928.7	            -184.973	            -369.953	             -373.96	             5287.84	           -0.148941	                0.49
 82	       -4982.37	           0.0296736	       35.44	         -185.078	            -370.163	            -4997.63	            -9992.14	            -185.078	            -370.163	            -374.158	             4818.76	           -0.149778	                3.23
 83	        -4597.9	            0.274725	        4.39	          -185.17	            -370.373	            -4625.74	               -9247	             -185.17	            -370.373	            -374.331	             4446.76	           -0.164749	                1.17
 84	        -4129.9	           0.0556174	       27.66	          -185.07	            -370.522	               -4147	            -8290.78	             -185.07	            -370.522	            -374.118	             3967.92	           -0.372034	                5.44
 85	       -3695.07	           0.0441696	       25.95	         -185.171	            -370.732	               -3711	            -7417.82	            -185.171	            -370.732	            -374.309	             3531.81	           -0.377578	                2.03
 86	       -3359.91	            0.037092	       32.01	         -185.277	            -370.942	            -3380.63	            -6756.77	            -185.277	            -370.942	            -374.507	             3201.33	           -0.378568	                1.41
 87	       -3076.85	            0.102881	        9.13	         -185.373	            -371.151	            -3097.91	            -6191.34	            -185.373	            -371.151	            -374.689	             2918.51	           -0.389263	                1.01
 88	       -2802.43	           0.0246792	       46.38	         -185.478	            -371.361	            -2823.12	             -5642.6	            -185.478	            -371.361	            -374.888	             2643.61	           -0.390413	                3.89
 89	       -2523.17	                0.05	       25.55	         -185.578	            -371.571	            -2541.86	            -5081.26	            -185.578	            -371.571	            -375.075	             2362.24	           -0.398068	                3.53
 90	       -2306.22	           0.0545852	       21.78	         -185.406	             -371.62	            -2324.42	            -4644.36	            -185.406	             -371.62	            -374.721	             2144.71	           -0.642248	                2.15
 91	       -2101.93	           0.0463822	       23.19	         -185.511	             -371.83	            -2117.89	            -4232.08	            -185.511	             -371.83	             -374.92	             1938.07	           -0.643435	                1.19
 92	       -1875.93	           0.0378501	       35.17	         -185.616	             -372.04	            -1897.71	            -3791.32	            -185.616	             -372.04	            -375.119	             1717.78	           -0.645028	                4.97
 93	        -1724.5	           0.0806452	        9.94	         -185.719	            -372.249	            -1749.71	            -3496.57	            -185.719	            -372.249	            -375.313	             1569.68	           -0.649019	                2.61
 94	       -1561.33	           0.0117014	          69	         -185.824	            -372.459	            -1585.92	            -3167.73	            -185.824	            -372.459	            -375.513	             1405.78	            -0.65019	               36.08
 95	       -1407.88	           0.0463822	       20.07	         -185.929	            -372.669	            -1423.99	            -2843.46	            -185.929	            -372.669	            -375.712	             1243.74	            -0.65139	                1.55
 96	       -1287.97	           0.0470367	       29.34	         -186.034	            -372.878	             -1307.5	             -2610.5	            -186.034	            -372.878	            -375.912	             1127.15	           -0.652636	                 3.8
 97	       -1169.83	           0.0373134	       37.42	         -186.133	            -373.088	            -1191.75	            -2379.29	            -186.133	            -373.088	            -376.098	              1011.3	           -0.661937	                9.29
 98	       -1047.68	           0.0806452	       26.58	         -186.237	            -373.297	            -1064.02	            -2124.58	            -186.237	            -373.297	            -376.297	             883.458	           -0.663734	                1.34
 99	       -943.355	           0.0398724	       49.16	         -186.333	            -373.506	            -961.096	            -1917.69	            -186.333	            -373.506	            -376.478	             780.432	           -0.676667	                3.83
100	       -866.373	            0.359712	        4.37	         -186.421	            -373.714	             -883.33	            -1763.37	            -186.421	            -373.714	            -376.645	             702.561	           -0.697851	                0.84
101	       -767.457	            0.044287	       49.55	         -186.521	            -373.923	            -787.261	            -1570.89	            -186.521	            -373.923	            -376.834	             606.387	           -0.706099	                2.37
102	       -661.857	             3.57143	         0.6	         -186.386	            -373.944	            -679.095	            -1354.46	            -186.386	            -373.944	            -376.554	             498.116	           -0.902265	                0.57
103	       -580.446	           0.0224316	       67.39	         -186.456	            -374.146	            -597.545	            -1191.58	            -186.456	            -374.146	            -376.684	              416.46	           -0.946893	                6.88
104	       -517.853	            0.234742	        1.93	         -186.524	            -374.348	            -536.263	            -1068.89	            -186.524	            -374.348	            -376.811	             355.073	           -0.995001	                0.73
105	       -474.667	           0.0273224	       51.79	         -183.588	            -367.251	             -493.31	            -982.357	            -183.588	            -367.251	            -370.929	             315.886	           -0.210498	                 6.4
106	       -430.735	           0.0256805	       48.62	         -183.693	            -367.461	            -448.101	            -893.638	            -183.693	            -367.461	            -371.129	             270.572	           -0.211768	               13.31
107	       -388.249	           0.0526316	       29.78	         -183.798	            -367.671	            -404.675	            -807.671	            -183.798	            -367.671	            -371.329	              227.04	           -0.212788	                1.04
108	       -359.024	           0.0732064	       18.22	         -183.882	             -367.88	            -375.493	            -749.416	            -183.882	             -367.88	            -371.488	             197.754	           -0.237877	                 1.3
109	       -333.625	           0.0328299	       49.37	         -183.986	             -368.09	            -350.927	            -698.033	            -183.986	             -368.09	            -371.686	             173.083	           -0.240154	                3.78
110	       -308.188	           0.0300481	       54.54	          -184.09	              -368.3	            -325.181	            -647.993	             -184.09	              -368.3	            -371.886	             147.231	           -0.241613	                7.78
111	       -281.824	           0.0263713	       59.23	         -184.194	             -368.51	             -300.45	            -596.767	            -184.194	             -368.51	            -372.085	             122.395	           -0.243994	               11.42
112	        -261.48	           0.0259336	       59.02	         -184.268	            -368.717	            -278.512	            -554.858	            -184.268	            -368.717	            -372.224	             100.352	           -0.280582	                5.13
113	       -247.537	           0.0351124	        51.9	         -184.369	            -368.927	            -263.988	            -527.851	            -184.369	            -368.927	            -372.417	              85.723	            -0.28633	                3.16
114	       -232.232	           0.0308261	        49.7	         -184.211	            -369.025	            -248.508	            -497.349	            -184.211	            -369.025	            -372.091	             70.1381	           -0.545103	                4.83
115	       -215.528	           0.0332005	       58.26	         -184.315	            -369.235	            -232.955	            -464.981	            -184.315	            -369.235	            -372.291	               54.48	           -0.547029	                3.03
116	       -207.218	           0.0292569	       59.89	         -184.405	            -369.443	            -223.531	            -447.423	            -184.405	            -369.443	            -372.462	             44.9508	           -0.566385	               10.29
117	       -201.013	            0.028885	       65.03	         -184.464	            -369.647	            -217.146	            -434.933	            -184.464	            -369.647	            -372.571	             38.4601	           -0.623044	                4.44
118	       -197.159	            0.031506	       66.01	         -184.526	            -369.851	            -212.902	            -427.458	            -184.526	            -369.851	            -372.686	             34.1114	            -0.67741	                3.46
119	       -193.307	           0.0321543	       61.85	         -184.613	            -370.059	            -209.355	            -420.215	            -184.613	            -370.059	            -372.853	             30.4585	           -0.700092	               11.22
120	       -190.623	           0.0443262	       66.26	         -184.515	            -370.201	            -206.385	            -414.818	            -184.515	            -370.201	            -372.648	             27.3836	           -0.934139	                1.86
121	       -188.494	           0.0438982	       63.44	         -184.113	            -369.483	            -204.123	            -410.572	            -184.113	            -369.483	            -371.835	             25.2946	            -0.99723	                2.75
122	       -187.151	           0.0483559	       61.67	         -184.191	            -369.686	            -202.627	            -407.846	            -184.191	            -369.686	            -371.983	              23.694	             -1.0338	                4.27
123	       -185.593	           0.0228102	      128.72	         -184.289	            -369.894	            -201.127	            -404.913	            -184.289	            -369.894	            -372.171	             22.0892	            -1.04446	               12.64
124	       -184.386	           0.0722543	       45.11	         -184.276	            -370.028	            -199.743	            -402.438	            -184.276	            -370.028	            -372.137	             20.5993	            -1.16588	                2.55
125	       -183.387	           0.0309406	      105.46	         -184.317	            -370.217	             -198.67	             -400.43	            -184.317	            -370.217	            -372.209	             19.4219	            -1.25284	                3.95
126	       -182.112	          0.00990491	      255.79	         -184.171	            -370.093	            -197.682	            -398.329	            -184.171	            -370.093	             -371.91	             18.3281	            -1.39156	               80.24
127	       -181.493	           0.0174216	      170.77	         -184.196	             -370.26	            -196.814	              -396.8	            -184.196	             -370.26	            -371.952	             17.3549	            -1.49456	               15.44
128	       -180.635	           0.0398089	       90.55	         -183.839	            -369.235	            -196.075	            -395.333	            -183.839	            -369.235	            -371.229	             17.4425	            -1.23899	                2.65
129	       -179.902	           0.0278087	       110.3	         -183.781	            -369.349	            -195.327	            -393.893	            -183.781	            -369.349	            -371.105	             16.5889	            -1.43118	                4.52
130	       -179.245	           0.0104037	      291.48	         -183.864	            -369.551	            -194.694	            -392.659	            -183.864	            -369.551	            -371.265	              15.851	            -1.46323	               22.72
131	       -178.457	           0.0120948	      251.17	         -183.946	            -369.751	            -194.052	            -391.357	            -183.946	            -369.751	            -371.421	             15.1039	            -1.49804	               25.46
132	       -177.906	           0.0205508	       159.1	          -183.98	            -369.928	            -193.439	            -390.187	             -183.98	            -369.928	            -371.481	             14.3855	            -1.60051	                4.65
133	       -177.468	           0.0131648	      263.49	         -183.861	            -369.923	            -192.933	            -389.223	            -183.861	            -369.923	            -371.235	             13.7745	            -1.83298	                9.32
134	       -176.863	           0.0253165	       141.4	         -183.953	            -370.125	            -192.461	            -388.283	            -183.953	            -370.125	            -371.412	             13.1979	            -1.85461	                3.26
135	       -176.456	           0.0133761	      277.47	         -184.028	            -370.312	            -192.029	            -387.438	            -184.029	            -370.312	            -371.555	             12.6607	            -1.89816	                5.02
136	        -175.87	           0.0139587	      244.07	          -184.05	            -370.441	            -191.608	            -386.583	             -184.05	            -370.442	             -371.59	             12.1344	            -1.99893	                6.64
137	       -175.563	          0.00663306	      423.47	         -183.886	            -369.902	            -191.207	             -385.81	            -183.887	            -369.903	            -371.255	             12.0427	            -1.77506	               50.39
138	       -175.184	           0.0118092	      278.79	         -183.952	            -370.086	            -190.851	            -385.112	            -183.953	            -370.086	            -371.379	             11.5813	             -1.8331	               12.03
139	       -174.804	           0.0151057	       240.8	         -183.973	            -370.233	            -190.526	            -384.468	            -183.975	            -370.234	            -371.415	             11.1509	            -1.95075	                3.74
140	       -174.487	           0.0106067	      326.41	         -184.016	            -370.397	            -190.226	            -383.878	            -184.018	            -370.398	            -371.493	             10.7464	            -2.04573	                6.14
141	       -174.159	           0.0160927	      232.02	         -184.028	             -370.52	            -189.939	            -383.308	            -184.031	            -370.521	            -371.511	             10.3537	            -2.17102	                4.16
142	       -173.827	          0.00980584	      334.51	         -183.966	            -370.439	             -189.67	            -382.774	            -183.969	            -370.441	            -371.379	             9.98012	            -2.23387	                8.86
143	       -173.512	          0.00702938	      458.42	         -184.044	            -370.625	            -189.416	            -382.266	            -184.049	            -370.628	            -371.529	             9.62059	            -2.27973	               22.54
144	       -173.168	          0.00826993	      395.91	         -184.041	            -370.715	            -189.169	             -381.77	            -184.047	            -370.719	            -371.515	             9.26816	            -2.42627	               10.92
145	       -172.884	           0.0072685	      406.59	         -184.075	            -370.852	            -188.931	            -381.294	            -184.083	            -370.859	            -371.578	             8.92498	            -2.54102	                9.71
146	       -172.585	          0.00682874	      435.14	         -184.096	            -370.967	            -188.702	            -380.835	            -184.106	            -370.976	            -371.612	             8.59116	            -2.67625	               15.55
147	         -172.3	          0.00531293	      527.77	         -183.911	            -370.531	            -188.485	            -380.401	            -183.922	             -370.54	            -371.236	             8.44379	             -2.5674	               15.75
148	        -172.02	          0.00312207	      776.75	         -183.949	            -370.665	            -188.273	            -379.974	            -183.962	            -370.678	            -371.305	             8.12617	            -2.67922	              155.37
149	       -171.755	           0.0031504	      946.99	         -183.997	             -370.81	            -188.067	            -379.562	            -184.014	            -370.827	            -371.395	             7.81555	            -2.78016	               67.31
150	       -171.483	          0.00511876	      620.93	         -183.966	            -370.782	             -187.87	            -379.165	            -183.986	            -370.803	            -371.327	             7.51299	            -2.85824	               17.04
151	       -171.271	           0.0078125	      435.31	         -183.991	            -370.885	            -187.682	            -378.789	            -184.016	            -370.913	            -371.371	             7.22036	            -2.98652	                7.14
152	        -171.08	          0.00364644	      762.59	         -184.036	            -371.015	            -187.512	            -378.447	            -184.067	            -371.051	            -371.455	             6.94465	            -3.09267	               31.56
153	       -170.831	          0.00280442	      929.05	         -184.103	            -371.173	            -187.349	             -378.12	            -184.143	             -371.22	            -371.585	             6.67683	            -3.16535	               98.46
154	       -170.651	          0.00278707	     1028.16	         -184.154	            -371.307	            -187.193	            -377.807	            -184.203	            -371.367	            -371.681	             6.41541	            -3.26812	               32.03
155	       -170.435	          0.00293582	      954.95	         -184.165	             -371.37	            -187.044	            -377.508	            -184.223	            -371.444	            -371.699	             6.16176	            -3.40633	               18.74
156	       -170.239	          0.00311798	      971.52	         -183.998	            -370.838	            -186.906	            -377.229	            -184.054	            -370.897	            -371.358	             7.04329	            -2.89468	               25.16
157	       -170.057	          0.00336519	      866.58	         -183.825	            -370.154	            -186.773	            -376.961	            -183.879	            -370.194	            -371.006	             7.46861	            -2.30989	               17.83
158	        -169.87	           0.0064834	      444.89	         -183.762	             -370.12	            -186.645	            -376.704	             -183.82	            -370.168	            -370.874	             7.23589	            -2.45611	                12.3
159	       -169.688	          0.00102137	     2373.11	         -183.787	            -370.246	            -186.526	            -376.464	            -183.854	            -370.305	            -370.919	             7.01171	            -2.58795	              694.11
160	       -169.539	          0.00263908	     1148.42	         -183.702	            -370.079	            -186.411	            -376.231	            -183.771	            -370.141	            -370.742	             6.79142	            -2.60233	               28.24
161	       -169.336	           0.0036295	      784.46	         -183.734	            -370.209	            -186.302	             -376.01	            -183.813	            -370.285	            -370.802	               6.577	            -2.72949	               16.41
162	       -169.184	          0.00172212	     1598.11	         -183.783	            -370.355	            -186.196	            -375.797	            -183.877	            -370.449	            -370.898	             6.36654	            -2.82918	               89.21
163	       -169.001	          0.00111267	     2356.04	         -183.801	            -370.452	            -186.095	            -375.591	            -183.907	            -370.567	            -370.929	             6.15965	            -2.97691	              165.65
164	       -168.848	          0.00180538	      1447.7	         -183.827	            -370.556	            -185.996	            -375.391	            -183.949	            -370.693	            -370.979	             5.95588	             -3.1075	               44.68
165	       -168.695	          0.00126384	     2093.89	         -183.876	             -370.69	            -185.903	            -375.202	            -184.018	            -370.856	            -371.075	             5.75753	            -3.21163	               67.98
166	       -168.552	           0.0016301	     1633.46	         -183.904	             -370.79	            -185.814	            -375.021	            -184.065	            -370.988	            -371.128	             5.56323	            -3.35189	               40.69
167	       -168.354	          0.00137231	      1946.9	         -183.931	            -370.883	            -185.727	            -374.845	            -184.112	            -371.117	            -371.178	             5.37167	            -3.49861	               48.01
