  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS	    sampling seconds
  1	        -591985	             1.28205	        0.39	         -18553.3	            -37106.5	             -591988	        -1.18398e+06	            -18553.3	            -37106.5	            -37114.9	              573441	          -0.0148603	                0.39
  2	        -591985	             1.72414	         0.4	         -16293.8	            -32587.6	             -591987	        -1.18398e+06	            -16293.8	            -32587.6	            -32595.3	              575699	          -0.0210161	                0.39
  3	        -591985	             2.08333	        0.38	         -16293.9	            -32587.8	             -591986	        -1.18398e+06	            -16293.9	            -32587.8	            -32595.1	              575699	          -0.0257398	                0.38
  4	        -583826	                   2	         0.4	           -16294	              -32588	             -588547	        -1.17709e+06	              -16294	              -32588	              -32595	              572259	          -0.0297223	                0.39
  5	        -504405	             3.57143	        0.39	         -16294.1	            -32588.2	             -506094	        -1.01218e+06	            -16294.1	            -32588.2	              -32595	              489806	          -0.0332312	                0.39
  6	        -442296	                   5	         0.4	         -16294.2	            -32588.4	             -443262	             -886520	            -16294.2	            -32588.4	              -32595	              426974	          -0.0364036	                 0.4
  7	        -393486	             4.16667	        0.38	         -16294.3	            -32588.6	             -394231	             -788457	            -16294.3	            -32588.6	            -32595.1	              377943	          -0.0393211	                0.38
  8	        -351004	             3.57143	        0.43	         -16294.4	            -32588.8	             -352385	             -704767	            -16294.4	            -32588.8	            -32595.2	              336097	          -0.0420368	                0.43
  9	        -313703	             2.17391	        1.87	         -16294.5	              -32589	             -313781	             -627557	            -16294.5	              -32589	            -32595.3	              297492	          -0.0445876	                0.45
 10	        -281358	             1.31579	        0.56	         -16294.6	            -32589.3	             -281518	             -563031	            -16294.6	            -32589.3	            -32595.4	              265229	          -0.0470003	                0.55
 11	        -260198	                   2	        0.47	         -4841.26	            -9682.53	             -261055	             -522106	            -4841.26	            -9682.53	            -9688.55	              256220	          -0.0492953	                0.46
 12	        -240376	             3.33333	         0.5	         -4841.37	            -9682.74	             -240511	             -481018	            -4841.37	            -9682.74	            -9688.67	              235676	          -0.0514882	                 0.5
 13	        -217700	               3.125	         0.5	         -4841.47	            -9682.95	             -217829	             -435653	            -4841.47	            -9682.95	             -9688.8	              212994	          -0.0535916	                0.49
 14	        -197857	                6.25	        0.43	         -4841.58	            -9683.16	             -198151	             -396297	            -4841.58	            -9683.16	            -9688.94	              193315	          -0.0556156	                0.43
 15	        -177185	             3.33333	        0.56	         -4841.68	            -9683.37	             -177626	             -355248	            -4841.68	            -9683.37	            -9689.08	              172791	          -0.0575687	                0.56
 16	        -163712	             3.57143	        0.48	         -4841.79	            -9683.58	             -163724	             -327444	            -4841.79	            -9683.58	            -9689.22	              158888	          -0.0594578	                0.46
 17	        -152331	             4.54545	        1.27	         -4841.89	            -9683.79	             -152584	             -305164	            -4841.89	            -9683.79	            -9689.37	              147748	          -0.0612888	                0.44
 18	        -139999	             1.06383	        0.57	            -4842	               -9684	             -140139	             -280274	               -4842	               -9684	            -9689.53	              135303	          -0.0630668	                0.57
 19	        -129871	             1.92308	        0.45	          -4842.1	            -9684.21	             -129894	             -259783	             -4842.1	            -9684.21	            -9689.68	              125058	          -0.0647962	                0.45
 20	        -121317	                 2.5	        0.47	         -4842.21	            -9684.42	             -121453	             -242901	            -4842.21	            -9684.42	            -9689.84	              116617	          -0.0664807	                0.46
 21	        -112125	            0.105708	       14.69	         -3975.95	            -7951.89	             -112202	             -224399	            -3975.95	            -7951.89	            -7957.26	              108232	          -0.0681237	                2.92
 22	        -104485	            0.373134	        4.05	         -3976.05	             -7952.1	             -104671	             -209337	            -3976.05	             -7952.1	            -7957.43	              100701	          -0.0697281	                0.85
 23	         -97219	             3.84615	        0.41	         -1346.97	            -2693.94	            -97338.4	             -194672	            -1346.97	            -2693.94	            -2699.23	             95997.6	          -0.0712966	                0.41
 24	       -90711.6	          0.00843313	      269.81	         -1347.08	            -2694.15	              -90899	             -181793	            -1347.08	            -2694.15	             -2699.4	             89558.1	          -0.0728313	                7.68
