  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS
 57	       -871.997	            0.168919	      110.54	         -838.989	            -1679.14	            -880.993	            -1764.36	            -838.989	            -1679.14	            -1682.35	              47.224	           -0.807069
 58	       -870.014	            0.162338	      108.92	         -839.094	            -1679.35	            -878.947	            -1760.46	            -839.094	            -1679.35	            -1682.54	              45.073	           -0.808848
 59	       -868.017	            0.103306	      189.23	         -839.198	            -1679.56	            -877.193	            -1756.72	            -839.198	            -1679.56	            -1682.73	             43.2142	           -0.811913
 60	       -866.482	            0.138504	      130.96	           -839.3	            -1679.77	            -875.584	            -1753.78	              -839.3	            -1679.77	            -1682.92	             41.4999	            -0.81749
 61	       -864.906	            0.161812	      110.37	         -839.099	            -1679.73	            -874.009	            -1750.77	            -839.099	            -1679.73	             -1682.5	             39.8199	            -1.05376
 62	       -863.259	            0.135135	       143.6	           -838.5	            -1678.16	            -872.514	             -1747.7	              -838.5	            -1678.16	            -1681.28	             39.5379	           -0.815753
 63	       -862.012	             0.14245	      131.17	         -838.604	            -1678.37	            -871.103	             -1745.3	            -838.604	            -1678.37	            -1681.48	             38.0216	           -0.818126
 64	       -860.745	            0.120773	      140.42	         -838.697	            -1678.58	            -869.922	            -1743.03	            -838.697	            -1678.58	            -1681.65	             36.7356	           -0.835198
 65	       -859.605	            0.135501	      126.43	         -838.766	            -1678.78	            -868.782	            -1740.81	            -838.766	            -1678.78	            -1681.77	             35.4897	           -0.878875
 66	       -858.344	            0.116822	      158.18	         -838.868	            -1678.99	             -867.67	            -1738.54	            -838.868	            -1678.99	            -1681.96	              34.273	           -0.883686
 67	       -857.208	            0.129199	      138.93	          -838.97	             -1679.2	             -866.57	            -1736.39	             -838.97	             -1679.2	            -1682.15	             33.0673	           -0.889992
 68	       -855.991	            0.105485	      179.67	         -839.066	            -1679.41	            -865.491	            -1734.18	            -839.066	            -1679.41	            -1682.32	             31.8839	           -0.902755
 69	       -854.696	            0.124378	      131.28	         -839.039	            -1679.54	              -864.4	            -1731.92	            -839.039	            -1679.54	            -1682.25	             30.6874	            -1.02784
 70	        -853.55	            0.115207	       181.4	         -836.864	            -1674.01	            -863.267	            -1729.82	            -836.864	            -1674.01	            -1677.89	              32.462	           -0.298306
 71	       -852.413	            0.131234	      137.43	         -836.968	            -1674.22	            -862.225	            -1727.66	            -836.968	            -1674.22	            -1678.08	             31.3145	           -0.299941
